id_n,Year,sector_code,Sector_long,Sector_short,QIP_flag,Spl_depr_flag,mintax_flag,Assets,Turnover,Age_2023,Audit_flag,Legal_form,assets,Oper_rev,Sub_rev,Other_rev,Op_wdv,Add_assets,Dispose_assets,Add_assets_spl,profit_before_tax,Donations_grants,non_ded_exp,unrecorded_inc,dec_provision,loss_disposal,other_ded_exp,dividends,capgain_disp_assets,other_inc,charity_cont,int_exp,int_inc,e41,depr,accum_inc,accum_exp,Loss_lag1,Loss_lag2,Loss_lag3,Loss_lag4,Loss_lag5,Loss_lag6,Loss_lag7,Loss_lag8,Loss_lag9,Loss_lag10,weight
79,2022,475,Sale of computers and electronic equipment,2,0,0,0,71230456,435559091,5,N,0,71230456,435559091,0,0,0,0,0,0,65957001,0,0,0,0,0,0,0,0,0,0,0,0,-65855153,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,2022,791,Travel agency and related tourism activities,2,0,0,1,28326210,33693081,9,N,1,28326210,33693081,0,0,0,0,0,0,18573141,0,0,0,0,0,0,0,0,0,0,0,0,-6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,2022,475,Sale of computers and electronic equipment,2,0,0,1,96927625,201575005,8,N,0,96927625,201575005,0,0,0,0,0,0,-2345198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,2022,239,Manufacture of products made of clay and stones,3,1,0,0,57004590410,67172521477,4,N,0,57004590410,67172521477,0,0,10888136511,690005906,0,0,1636197243,0,3212011394,0,0,0,0,0,0,0,0,0,0,-7720240016,3125789231,0,0,3000661046,2997159564,0,0,0,0,0,0,0,0,1
83,2022,551,Accommodation,2,1,0,0,2239649,0,4,N,0,2239649,0,0,0,0,0,0,0,-7185605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11068202,29888222,4153300,0,0,0,0,0,0,0,1
84,2022,141,Manufacture of wearing apparels,3,0,0,0,164680,0,1,N,1,164680,0,0,0,0,0,0,0,-17785316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,2022,475,Sale of computers and electronic equipment,2,0,0,0,200000000,0,0,Y,0,200000000,0,0,0,0,0,0,0,-3705300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,2022,561,Food and beverage service activities,2,0,0,0,3640936715,25379197631,7,Y,0,3640936715,25379197631,0,5603113,159507841,54947952,0,0,2428974914,0,124112605,0,0,0,0,0,0,0,0,0,0,0,48599316,0,0,0,0,0,0,0,0,0,0,0,0,1
87,2022,331,Repair and installation of machinery and equipment,2,0,0,1,127096031,695943856,3,N,0,127096031,695943856,0,0,85534792,0,0,0,28131049,0,17106958,0,0,0,0,0,0,0,0,0,0,0,17106958,0,0,0,0,0,0,0,0,0,0,0,0,1
88,2022,410,CONSTRUCTION,3,0,0,0,182181124,3284904700,3,N,0,182181124,3284904700,0,0,0,0,0,0,-17618876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,2022,478,Sale of computers and electronic equipment,2,0,0,0,690551972,1264178701,6,N,0,690551972,1264178701,0,0,0,0,0,0,87525647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,2022,681,Real estate activities,3,0,0,0,3713427099,0,8,N,0,3713427099,0,0,0,8506736,0,0,0,-23786181,0,2128821,0,0,0,0,0,0,0,0,0,0,-58151393,2128821,0,0,24533920,33155471,0,0,15655099,0,0,0,0,0,1
91,2022,432,CONSTRUCTION,2,0,0,1,775848658,3518285266,7,N,1,775848658,3516602088,0,1683178,1146903,0,0,0,394344933,0,17407394,0,0,0,0,0,0,0,0,0,0,-690687545,242537,0,0,401281349,289406196,0,0,0,0,0,0,0,0,1
92,2022,473,"Sale of solid, liquid, and gaseous fuels and related products",3,0,0,0,491001481,0,4,N,1,491001481,0,0,0,0,0,0,0,-8054000,0,8054000,0,0,0,0,0,0,0,0,0,0,0,8054000,0,0,0,0,0,0,0,0,0,0,0,0,1
93,2022,463,Import-export of food and non-alcoholic beverages,2,0,0,0,25559198,0,2,N,0,25559198,0,0,0,2230008,1964250,0,0,-204256510,0,1921236,0,0,0,0,0,0,0,0,0,0,0,1921236,0,0,49770028,0,0,0,0,0,0,0,0,0,1
94,2022,464,Import-export of food and non-alcoholic beverages,2,0,0,0,513298416,609108980,7,Y,0,513298416,609108980,0,0,15309250,0,0,0,26449398,0,5536617,0,0,0,0,0,0,0,0,0,0,-461958682,3827312,0,0,461958682,325695694,319651587,207094931,36117595,0,0,0,0,0,1
95,2022,861,Human health and social activities,3,0,0,1,133904284,251980421,4,N,1,133904284,251980421,0,0,25922351,0,0,0,-77028802,0,8801132,0,0,0,0,0,0,0,0,0,0,0,6480588,0,0,0,0,0,0,0,0,0,0,0,0,1
96,2022,141,Manufacture of wearing apparels,3,0,0,0,6387611545,22611867031,7,N,0,6387611545,22611867031,0,0,1559512342,0,0,0,732508579,0,402704972,0,0,0,0,0,0,0,0,0,0,-2704104277,341369913,0,0,225428637,1684832002,0,0,0,0,0,0,0,0,1
97,2022,91,Mining support service activities,4,1,0,0,94897053463,0,7,N,0,94897053463,0,0,0,150404179,0,0,0,-444551227,0,32369329,0,0,0,0,0,0,0,0,0,0,0,32369329,0,0,195243702,202818815,279237354,314257045,341427949,0,0,0,0,0,1
98,2022,702,Activities of head offices; management consultancy activities,2,0,0,0,38752950,161068279,2,N,0,38752950,161068279,0,0,0,0,0,0,12174710,0,3244361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,2022,461,Import-export on a fee or contract basis,2,0,0,0,381422471,93950,4,N,0,381422471,0,0,93950,0,0,0,0,-58345177,0,3585043,0,0,0,0,0,0,0,0,0,3005,0,0,0,0,55934513,86126504,83707310,0,0,0,0,0,0,0,1
